Date,AirT,RelHum,Swglobal,Iprec,WindSp,Ts_CS_z0,Ts_CS_z5,Ts_CS_z10,Ts_CS_z20,Ts_CS_z50,Ts_CI_z0,Ts_CI_z5,Ts_CI_z10,Ts_CI_z20,Ts_CI_z50
01/11/2013 00:00,5.89925,88.725,-9999,0,-9999,5.7815,7.08475,7.176,7.13375,7.17175,5.9115,6.81,7.04975,7.07025,7.21475
01/11/2013 01:00,5.0335,89.425,-9999,0,-9999,5.161,6.9735,7.1435,7.12375,7.1855,5.30125,6.57425,6.95575,7.06625,7.22375
01/11/2013 02:00,4.882,88.5,-9999,0,-9999,4.72575,6.83975,7.1225,7.14625,7.1835,4.88725,6.32375,6.87,7.0905,7.25225
01/11/2013 03:00,4.56325,88.85,-9999,0,-9999,4.3745,6.6775,7.067,7.14725,7.18875,4.5355,6.05675,6.73525,7.08375,7.266
01/11/2013 04:00,4.40175,88.35,-9999,0,-9999,4.079,6.50925,6.99675,7.13475,7.195,4.23825,5.805,6.584,7.059,7.27475
01/11/2013 05:00,4.30775,87.125,-9999,0,-9999,3.79625,6.3395,6.91125,7.1075,7.20175,3.95,5.566,6.42275,7.01775,7.279
01/11/2013 06:00,4.11425,85.75,-9999,0,-9999,3.5405,6.17375,6.82025,7.0705,7.20725,3.6865,5.3375,6.25975,6.964,7.2805
01/11/2013 07:00,4.02975,83.3,0.54,0,-9999,3.286,6.0145,6.73,7.029,7.21225,3.4335,5.12325,6.1025,6.9075,7.2835
01/11/2013 08:00,4.07925,81.765,20.9225,0,-9999,3.164,5.86525,6.64925,6.99725,7.21025,3.288,4.938,5.96725,6.85975,7.29575
01/11/2013 09:00,5.6085,76.5425,166.8925,0,-9999,3.167,5.82725,6.769,7.21525,7.13925,3.77175,5.1555,6.1925,7.1055,7.531
01/11/2013 10:00,7.4835,74.3225,345.275,0,-9999,3.92125,5.7825,6.8755,7.44875,7.0005,5.30675,5.56,6.47,7.35575,7.739
01/11/2013 11:00,8.21,72.4875,394.375,0,-9999,5.827,5.59375,6.5005,7.106,7.0085,6.822,5.468,6.03975,6.9785,7.518
01/11/2013 12:00,8.1275,73.16,421.8,0,-9999,7.2405,5.66875,6.20625,6.69425,7.00975,7.945,5.621,5.628,6.36575,7.022
01/11/2013 13:00,7.6315,78.5575,356.475,0,-9999,8.05825,5.9435,6.202,6.59825,7.02975,8.48,6.19,5.7845,6.281,6.99125
01/11/2013 14:00,7.3255,82.275,241.425,0,-9999,8.094,6.25225,6.258,6.49575,7.1095,8.195,6.54525,5.957,6.2375,7.00325
01/11/2013 15:00,7.2265,85.45,158.075,0,-9999,8.047,6.54825,6.4455,6.56375,7.1165,8.098,6.90525,6.2915,6.34025,7.0705
01/11/2013 16:00,6.69675,88.35,82.6175,0,-9999,7.57675,6.735,6.5665,6.58,7.14525,7.55525,7.00525,6.48125,6.3955,7.08375
01/11/2013 17:00,6.446,89.475,16.567,0,-9999,7.05425,6.84125,6.6925,6.64925,7.13075,7.0685,7.0075,6.65225,6.491,7.0995
01/11/2013 18:00,6.07175,90.05,0.05675,0,-9999,6.40225,6.87,6.779,6.709,7.13225,6.5115,6.901,6.735,6.5805,7.1185
01/11/2013 19:00,6.03675,90.975,-9999,0,-9999,6.18075,6.8535,6.86275,6.805,7.11275,6.284,6.78375,6.8065,6.7015,7.16
01/11/2013 20:00,5.90175,91.65,-9999,0,-9999,5.9635,6.7815,6.866,6.8395,7.106,6.08025,6.63125,6.77,6.7485,7.15625
01/11/2013 21:00,5.88275,92.35,-9999,0,-9999,5.80025,6.70725,6.856,6.86525,7.10175,5.92225,6.50225,6.72125,6.78425,7.15975
01/11/2013 22:00,5.72725,93.125,-9999,0,-9999,5.6475,6.63175,6.8325,6.87725,7.098,5.795,6.38425,6.66025,6.8,7.1595
01/11/2013 23:00,5.45125,94.925,-9999,0,-9999,5.47625,6.554,6.795,6.86725,7.099,5.5975,6.261,6.58025,6.787,7.14575
02/11/2013 00:00,5.35775,96.1,-9999,0,-9999,5.42675,6.49025,6.77525,6.87725,7.0945,5.53175,6.17225,6.53425,6.79575,7.154
02/11/2013 01:00,5.34575,96.875,-9999,0,-9999,5.405,6.4285,6.74625,6.8755,7.091,5.4995,6.097,6.47975,6.79075,7.15675
02/11/2013 02:00,5.312,97.175,-9999,0,-9999,5.38025,6.37575,6.7125,6.863,7.092,5.45875,6.0315,6.42075,6.77225,7.15425
02/11/2013 03:00,5.24425,97.45,-9999,0,-9999,5.349,6.33175,6.681,6.8495,7.09325,5.4135,5.9755,6.367,6.75025,7.1505
02/11/2013 04:00,5.2605,97.675,-9999,0,-9999,5.33425,6.292,6.654,6.83475,7.08975,5.3725,5.9275,6.3235,6.7295,7.1485
02/11/2013 05:00,5.2605,97.825,-9999,0,-9999,5.3075,6.25825,6.62775,6.8185,7.087,5.347,5.8845,6.282,6.7065,7.1455
02/11/2013 06:00,5.27725,97.875,-9999,0,-9999,5.29825,6.22825,6.603,6.8025,7.08675,5.31175,5.84475,6.24275,6.6825,7.14175
02/11/2013 07:00,5.45475,97.925,-9999,0,-9999,5.29525,6.20275,6.584,6.7915,7.0815,5.29625,5.817,6.21325,6.66475,7.14
02/11/2013 08:00,5.472,97.95,4.775,0,-9999,5.2865,6.181,6.5635,6.77625,7.0795,5.2875,5.78675,6.1805,6.64225,7.13625
02/11/2013 09:00,5.54675,97.975,14.5775,0,-9999,5.35675,6.16175,6.54675,6.7645,7.073,5.327,5.768,6.155,6.6235,7.1325
02/11/2013 10:00,5.7685,98,62.1875,0.1,-9999,5.65275,6.15525,6.54175,6.76725,7.054,5.58525,5.7945,6.155,6.6205,7.13775
02/11/2013 11:00,5.829,97.975,44.5875,0,-9999,5.87475,6.15875,6.5165,6.74775,7.0505,5.83675,5.859,6.13975,6.5935,7.12975
02/11/2013 12:00,6.0075,97.975,67.89,0,-9999,6.02,6.18875,6.50325,6.71975,7.03425,5.9965,5.93225,6.14025,6.55425,7.10525
02/11/2013 13:00,6.29775,97.925,68.495,0,-9999,6.2785,6.2305,6.5095,6.717,7.02775,6.232,6.043,6.1805,6.54875,7.10375
02/11/2013 14:00,6.599,97.8,105.685,0,-9999,6.5575,6.28975,6.5225,6.71275,7.0155,6.52025,6.16875,6.23225,6.543,7.10125
02/11/2013 15:00,6.93125,97.65,91.025,0,-9999,6.9065,6.374,6.557,6.73175,7.0125,6.8835,6.3495,6.31375,6.5555,7.1
02/11/2013 16:00,6.908,97.675,28.925,0,-9999,6.6615,6.42875,6.5275,6.65575,7.03025,6.60825,6.389,6.288,6.471,7.033
02/11/2013 17:00,6.4885,97.775,9.208,0,-9999,6.4165,6.48625,6.56025,6.64825,7.0315,6.3565,6.39475,6.34,6.47475,7.032
02/11/2013 18:00,6.2525,97.775,-9999,0,-9999,6.09925,6.51425,6.60175,6.6655,7.03275,6.0365,6.35175,6.37975,6.5,7.03425
02/11/2013 19:00,6.1615,97.725,-9999,0,-9999,5.9295,6.521,6.65125,6.71225,7.02225,5.871,6.29475,6.423,6.552,7.05675
02/11/2013 20:00,6.139,97.475,-9999,0,-9999,5.7685,6.501,6.6715,6.7435,7.02075,5.74575,6.2235,6.42025,6.585,7.0665
02/11/2013 21:00,6.086,96.525,-9999,0,-9999,5.692,6.4685,6.675,6.76325,7.0155,5.659,6.15075,6.3975,6.604,7.07175
02/11/2013 22:00,5.91175,93.65,-9999,0,-9999,5.49325,6.422,6.6575,6.75625,7.01775,5.4425,6.05375,6.3445,6.59725,7.06275
02/11/2013 23:00,6.013,94.5,-9999,0,-9999,5.44725,6.3825,6.65475,6.77275,7.01225,5.3895,5.97775,6.31725,6.611,7.074
03/11/2013 00:00,6.02375,96.25,-9999,0,-9999,5.4545,6.33875,6.6375,6.77725,7.00425,5.39575,5.92125,6.278,6.6105,7.075
