Date,SolarHeight[deg],SolarAzimuth[deg],SinSolarHeight,SWinMeasured[W/m2],SWinClearSky[W/m2],AtmTransmissivity,CloudTransmissivity
01/11/2013 09:00,16.779258,133.955137,0.288685,153.442500,254.059242,0.633844,0.606769
01/11/2013 10:00,23.263725,147.815772,0.394964,332.275000,370.822673,0.676194,0.900296
01/11/2013 11:00,27.523244,163.213533,0.462108,399.475000,446.469936,0.695827,0.898895
01/11/2013 12:00,29.047629,179.641072,0.485537,435.725000,473.146994,0.701807,0.925147
01/11/2013 13:00,27.622610,196.086760,0.463646,367.825000,447.651376,0.695324,0.825493
01/11/2013 14:00,23.448335,211.528246,0.397922,244.900000,373.108068,0.675244,0.659493
01/11/2013 15:00,17.027940,225.436713,0.292838,157.975000,256.809859,0.631537,0.618020
02/11/2013 09:00,16.502217,134.125606,0.284052,14.492500,247.182786,0.626414,0.100000
02/11/2013 10:00,22.965711,147.946753,0.390180,68.095000,363.760822,0.671093,0.188095
02/11/2013 11:00,27.208570,163.286514,0.457231,48.305000,439.172055,0.691388,0.110507
02/11/2013 12:00,28.726513,179.641615,0.480629,75.037500,465.585130,0.697272,0.161918
02/11/2013 13:00,27.308092,196.014686,0.458775,72.525000,440.522104,0.691149,0.165407
02/11/2013 14:00,23.150752,211.397810,0.393152,109.385000,366.494883,0.670968,0.299895
02/11/2013 15:00,16.751743,225.266530,0.288225,100.000000,250.993169,0.626779,0.400300
03/11/2013 09:00,16.226774,134.290554,0.279440,124.650000,242.620021,0.624672,0.516202
03/11/2013 10:00,22.670025,148.072253,0.385423,265.825000,358.709645,0.669590,0.744651
03/11/2013 11:00,26.897071,163.354579,0.452389,356.425000,433.989570,0.690179,0.825167
03/11/2013 12:00,28.409348,179.638406,0.475768,334.175000,460.369480,0.696140,0.729293
03/11/2013 13:00,26.998071,195.940278,0.453961,116.877500,437.932418,0.694008,0.268149
03/11/2013 14:00,22.857968,211.266235,0.388448,185.950000,364.887689,0.675760,0.512081
03/11/2013 15:00,16.480496,225.095973,0.283689,132.417500,249.658375,0.633083,0.532936
04/11/2013 09:00,15.953047,134.449959,0.274850,72.162500,242.321545,0.633993,0.299230
04/11/2013 10:00,22.376791,148.192279,0.380696,107.875000,359.992837,0.679976,0.301127
04/11/2013 11:00,26.588868,163.417761,0.447585,280.775000,435.554170,0.699737,0.647719
04/11/2013 12:00,28.096252,179.631486,0.470954,333.575000,462.312079,0.705855,0.724951
04/11/2013 13:00,26.692658,195.863576,0.449205,361.650000,437.107535,0.699671,0.831325
04/11/2013 14:00,22.570085,211.133561,0.383813,298.000000,361.541334,0.677296,0.828291
04/11/2013 15:00,16.214299,224.925090,0.279231,123.800000,245.166222,0.631289,0.507411
05/11/2013 09:00,15.681156,134.603802,0.270284,153.385000,237.606528,0.631832,0.648684
05/11/2013 10:00,22.086134,148.306842,0.376000,324.550000,355.612157,0.679740,0.917173
05/11/2013 11:00,26.284084,163.476091,0.442822,414.775000,432.623507,0.702143,0.963369
05/11/2013 12:00,27.787339,179.620895,0.466191,460.950000,460.229157,0.709489,1.000000
