Dz,Kh,Kv,vwc_r,vwc_w,vwc_fc,vwc_s,alpha,n
10,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
10,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
20,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
20,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
25,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
30,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
30,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
35,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
40,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
50,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
60,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
80,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
90,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
100,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
100,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
100,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
200,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
200,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
400,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
800,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
1000,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
1600,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
2500,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
5000,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2
7500,0.001,1,0.07,0.161718176,0.266745309,0.7,0.1,1.2


